,PC1,PC2
Forward,-0.3335909893522792,0.06598655928000814
Reverse,1.1102230246251565e-16,-9.80118763926896e-17
Dissipated,-0.26051120024332114,0.44443281526078127
Rail Setpoint,-0.32140615642577586,0.21009384076061052
Drive Setpoint,-0.2657774933092835,-0.43842633849475127
PA01 Current,-0.3314733304438964,-0.10256959864423587
HK Bias Voltage,0.010620338524463984,0.1934591975244926
Soft Start Volts,0.32080672285544126,0.19304989757817254
Setpoint,-0.33341381783053636,0.0689945122064555
Gamma Magnitude,-0.0,-0.0
Gamma Phase,-0.031490287336473854,-0.6319719068477598
PA02 Current,-0.33185128375013395,-0.09696519298061398
PA03 Current,-0.33141474707147406,-0.10438825868080828
PA Voltage,-0.3192015632754265,0.22826526874433098
Fan Current,-0.0,-0.0
Heatsink Temp,-0.0,-0.0
