,PC1,PC2
Forward,-0.3032414775010691,0.09592335562280509
Reverse,-0.2795251659711171,0.123166275528854
Dissipated,-0.2502025756000491,-0.32012337746197506
Rail Setpoint,-0.17065377716261468,0.40120493720760103
Drive Setpoint,-0.3073472990063862,-0.06325642606034666
PA01 Current,-0.30856987919901857,-0.013893864246030877
HK Bias Voltage,0.1797513302744761,-0.1597053061909004
Soft Start Volts,0.2912701368018089,0.2096561430474824
Setpoint,-0.3032414775010692,0.09592335562280503
Gamma Magnitude,-0.14484126848192966,-0.444954580411425
Gamma Phase,-0.20757738818143723,-0.42404475289567595
PA02 Current,-0.30843988879360407,-0.007426933089033477
PA03 Current,-0.3086889901190294,-0.022895524306694594
PA Voltage,-0.14329095658476848,0.3821598600408124
Fan Current,-0.0,0.0
Heatsink Temp,-0.25373325926296675,0.3238875695362521
