,PC1,PC2
Forward,-0.332461442398537,0.042812116360714955
Reverse,-1.1102230246251565e-16,3.469446951953614e-17
Dissipated,-0.27380225522988527,0.34266411352493553
Rail Setpoint,-0.32193819624897385,0.1605807699546826
Drive Setpoint,-0.2541936043906085,-0.4390874421184654
PA01 Current,-0.3304673884957784,-0.10337711703167694
HK Bias Voltage,0.0409722598415046,-0.46302514851866095
Soft Start Volts,0.3197250239659704,0.18883668012045216
Setpoint,-0.3322908701115888,0.04533760662485629
Gamma Magnitude,-0.0,1.2924697071141057e-26
Gamma Phase,0.04019648386909425,-0.5901031680943067
PA02 Current,-0.3308321425308506,-0.09912379390234334
PA03 Current,-0.3304652082320609,-0.10419043158251454
PA Voltage,-0.32006479295297957,0.174549804135482
Fan Current,-0.0,-0.0
Heatsink Temp,-0.0,-0.0
