,PC1,PC2
Forward,-0.30313840067691783,0.08873770972655398
Reverse,-0.280044435378786,0.13500934048065322
Dissipated,-0.24716065298235626,-0.3288890745771576
Rail Setpoint,-0.1723082879667262,0.37136823529448704
Drive Setpoint,-0.3063075292827716,-0.06982342825515983
PA01 Current,-0.3076902941115539,-0.019983894300696043
HK Bias Voltage,0.20950196061787668,-0.18416929214937283
Soft Start Volts,0.29282912746237305,0.19724701463253727
Setpoint,-0.30313840067691805,0.08873770972655409
Gamma Magnitude,-0.15385722638688,-0.43520012177032846
Gamma Phase,-0.2109221152575319,-0.41616120939883927
PA02 Current,-0.30758155595774994,-0.013604468063784188
PA03 Current,-0.3077502958962044,-0.029219719815305276
PA Voltage,-0.155216468006035,0.3453427811322384
Fan Current,-0.0,0.0
Heatsink Temp,-0.21749532379766856,0.39868802063050335
