,PC1,PC2
Forward,-0.30255912244553407,0.09262568242519865
Reverse,-0.2791364795402651,0.11785944780062368
Dissipated,-0.246838718301719,-0.3355438560019222
Rail Setpoint,-0.17175045002741526,0.40039327691922516
Drive Setpoint,-0.30607167058210927,-0.07028892604734462
PA01 Current,-0.3073268774633896,-0.019049173614669825
HK Bias Voltage,0.18068634539862719,-0.21727546170269985
Soft Start Volts,0.2902149280712975,0.207747580878668
Setpoint,-0.3025591224455342,0.09262568242519849
Gamma Magnitude,-0.13626657079027044,-0.43085042597751483
Gamma Phase,-0.20965927888581362,-0.4297391466458816
PA02 Current,-0.30721501731951234,-0.012640475792389819
PA03 Current,-0.3074047345293285,-0.02842713927463501
PA Voltage,-0.15284379967560593,0.37719993355565146
Fan Current,-0.0,0.0
Heatsink Temp,-0.26230462701659707,0.2946507691108861
