,PC1,PC2
Forward,-0.30319819849718743,0.09819758373563983
Reverse,-0.27930964350602355,0.12737831545966277
Dissipated,-0.25106928516471544,-0.3209169733309197
Rail Setpoint,-0.16928663678883374,0.4243927409351886
Drive Setpoint,-0.3072406792545879,-0.059768463828789545
PA01 Current,-0.30878156374326027,-0.012610119172262678
HK Bias Voltage,0.14177679491024833,-0.12958701577834358
Soft Start Volts,0.29429644143029626,0.19065911121204746
Setpoint,-0.30319815346581647,0.09820021831887443
Gamma Magnitude,-0.15468918042964447,-0.4371082716147583
Gamma Phase,-0.2128195658382162,-0.42418454862117466
PA02 Current,-0.3086538069997573,-0.006076032761736551
PA03 Current,-0.3089448439330904,-0.02210442505915292
PA Voltage,-0.15170960031521047,0.39697873655610844
Fan Current,-0.0,0.0
Heatsink Temp,-0.25890028506620416,0.30887380094209543
